"Gene","Module"
"AEBP2","turquoise"
"AEN","turquoise"
"AFAP1","grey"
"AFAP1L1","turquoise"
"AFAP1L2","grey"
"AFF1","turquoise"
"AFF2","yellow"
"AFF3","grey"
"AFF4","turquoise"
"AFG3L2","turquoise"
"AFMID","blue"
"AFTPH","turquoise"
"AGA","turquoise"
"AGAP1","turquoise"
"AGAP2","blue"
"AGAP3","blue"
"AGAP4","turquoise"
"AGAP5","red"
"AGAP6","red"
"AGAP9","blue"
"AGBL1","grey"
"AGBL2","turquoise"
"AGBL3","turquoise"
"AGBL4","green"
"AGBL5","turquoise"
"AGER","blue"
"AGFG1","turquoise"
"AGFG2","blue"
"AGGF1","turquoise"
"AGK","turquoise"
"AGL","turquoise"
"AGMAT","turquoise"
"AGO1","turquoise"
"AGO2","turquoise"
"AGO3","turquoise"
"AGO4","turquoise"
"AGPAT1","blue"
"AGPAT2","blue"
"AGPAT3","turquoise"
"AGPAT4","turquoise"
"AGPAT5","turquoise"
"AGPS","turquoise"
"AGR2","brown"
"AGR3","brown"
"AGRN","blue"
"AGT","blue"
"AGTPBP1","turquoise"
"AGTRAP","blue"
"AGXT","brown"
"AHCTF1","turquoise"
"AHCY","turquoise"
"AHCYL1","turquoise"
"AHCYL2","turquoise"
"AHDC1","blue"
"AHI1","turquoise"
"AHNAK","turquoise"
"AHNAK2","grey"
"AHR","turquoise"
"AHRR","grey"
"AHSA1","turquoise"
"AIDA","turquoise"
"AIF1L","grey"
"AIFM1","turquoise"
"AIFM2","blue"
"AIFM3","blue"
"AIG1","turquoise"
"AIMP1","turquoise"
"AIMP2","turquoise"
"AIP","blue"
"AJAP1","green"
"AJUBA","turquoise"
"AK1","blue"
"AK2","turquoise"
"AK3","turquoise"
"AK4","turquoise"
"AK6","turquoise"
"AK7","grey"
"AK8","blue"
"AK9","turquoise"
"AKAP1","turquoise"
"AKAP10","turquoise"
"AKAP11","turquoise"
"AKAP12","grey"
"AKAP13","turquoise"
"AKAP14","grey"
"AKAP17A","black"
"AKAP3","grey"
"AKAP5","turquoise"
"AKAP6","turquoise"
"AKAP7","turquoise"
"AKAP8","turquoise"
"AKAP8L","blue"
"AKAP9","turquoise"
"AKIP1","turquoise"
"AKIRIN1","turquoise"
"AKIRIN2","turquoise"
"AKNA","blue"
"AKR1A1","turquoise"
"AKR1B1","turquoise"
"AKR1B10","yellow"
"AKR1B15","brown"
"AKR1C1","grey"
"AKR1C2","grey"
"AKR1C3","turquoise"
"AKR1C4","grey"
"AKR1E2","grey"
"AKR7A2","blue"
"AKR7A3","blue"
"AKR7L","turquoise"
"AKT1","blue"
"AKT1S1","blue"
"AKT2","blue"
"AKT3","red"
"AKTIP","turquoise"
"ALAD","turquoise"
"ALAS1","turquoise"
"ALB","grey"
"ALCAM","turquoise"
"ALDH16A1","blue"
"ALDH18A1","turquoise"
"ALDH1A1","grey"
"ALDH1A2","grey"
"ALDH1A3","grey"
"ALDH1B1","turquoise"
"ALDH1L1","blue"
"ALDH1L2","grey"
"ALDH2","turquoise"
"ALDH3A1","blue"
"ALDH3A2","turquoise"
"ALDH3B1","blue"
"ALDH3B2","brown"
"ALDH4A1","blue"
"ALDH5A1","grey"
"ALDH6A1","turquoise"
"ALDH7A1","turquoise"
"ALDH9A1","turquoise"
"ALDOA","blue"
"ALDOC","blue"
"ALG1","turquoise"
"ALG10","turquoise"
"ALG10B","turquoise"
"ALG11","turquoise"
"ALG12","blue"
"ALG13","turquoise"
"ALG14","turquoise"
"ALG2","turquoise"
"ALG3","blue"
"ALG5","turquoise"
"ALG6","turquoise"
"ALG8","turquoise"
"ALG9","turquoise"
"ALK","yellow"
"ALKBH1","turquoise"
"ALKBH2","blue"
"ALKBH3","turquoise"
"ALKBH4","blue"
"ALKBH5","blue"
"ALKBH6","blue"
"ALKBH7","blue"
"ALKBH8","turquoise"
"ALMS1","turquoise"
"ALOX12","grey"
"ALOX15","brown"
"ALOX15B","grey"
"ALOX5","grey"
"ALOXE3","blue"
"ALPK1","grey"
"ALPK3","grey"
"ALPL","grey"
"ALS2","turquoise"
"ALS2CL","blue"
"ALX1","grey"
"ALX3","yellow"
"ALYREF","blue"
"AMACR","turquoise"
"AMBRA1","blue"
"AMD1","turquoise"
"AMDHD2","blue"
"AMER1","turquoise"
"AMFR","turquoise"
"AMH","blue"
"AMIGO1","turquoise"
"AMIGO2","turquoise"
"AMIGO3","grey"
"AMMECR1","turquoise"
"AMMECR1L","turquoise"
"AMN","blue"
"AMN1","turquoise"
"AMOT","turquoise"
"AMOTL1","turquoise"
"AMOTL2","blue"
"AMPD2","blue"
"AMPD3","turquoise"
"AMPH","yellow"
"AMT","grey"
"AMTN","brown"
"AMY1B","brown"
"AMY1C","brown"
"AMY2B","red"
"AMZ1","grey"
"AMZ2","turquoise"
"ANAPC1","turquoise"
"ANAPC10","turquoise"
"ANAPC11","blue"
"ANAPC13","turquoise"
"ANAPC15","turquoise"
"ANAPC16","turquoise"
"ANAPC2","blue"
"ANAPC4","turquoise"
"ANAPC5","turquoise"
"ANAPC7","turquoise"
"ANG","grey"
"ANGEL1","turquoise"
"ANGEL2","turquoise"
"ANGPT1","grey"
"ANGPT2","grey"
"ANGPTL2","grey"
"ANGPTL4","grey"
"ANGPTL5","grey"
"ANGPTL6","blue"
"ANK1","blue"
"ANK2","grey"
"ANK3","grey"
"ANKAR","turquoise"
"ANKDD1A","grey"
"ANKDD1B","turquoise"
"ANKEF1","turquoise"
"ANKFN1","grey"
"ANKFY1","turquoise"
"ANKH","turquoise"
"ANKHD1","turquoise"
"ANKHD1-EIF4EBP3","blue"
"ANKIB1","turquoise"
"ANKK1","blue"
"ANKLE1","blue"
"ANKLE2","turquoise"
"ANKMY1","blue"
"ANKMY2","turquoise"
"ANKRA2","turquoise"
"ANKRD10","turquoise"
"ANKRD11","blue"
"ANKRD12","turquoise"
"ANKRD13A","turquoise"
"ANKRD13B","blue"
"ANKRD13C","turquoise"
"ANKRD13D","blue"
"ANKRD16","blue"
"ANKRD17","turquoise"
"ANKRD18A","grey"
"ANKRD18B","grey"
"ANKRD2","blue"
"ANKRD20A1","yellow"
"ANKRD22","brown"
"ANKRD23","blue"
"ANKRD24","blue"
"ANKRD26","turquoise"
"ANKRD27","turquoise"
"ANKRD28","turquoise"
"ANKRD29","turquoise"
"ANKRD31","turquoise"
"ANKRD33B","turquoise"
"ANKRD34A","grey"
"ANKRD35","grey"
"ANKRD36","turquoise"
"ANKRD36B","turquoise"
"ANKRD37","grey"
"ANKRD39","blue"
"ANKRD40","turquoise"
"ANKRD42","turquoise"
"ANKRD44","grey"
"ANKRD45","grey"
"ANKRD46","turquoise"
"ANKRD49","turquoise"
"ANKRD50","turquoise"
"ANKRD52","blue"
"ANKRD53","grey"
"ANKRD54","blue"
"ANKRD6","turquoise"
"ANKRD61","grey"
"ANKRD65","grey"
"ANKRD66","brown"
"ANKRD7","grey"
"ANKRD9","blue"
"ANKS1A","turquoise"
"ANKS1B","green"
"ANKS3","blue"
"ANKS6","blue"
"ANKUB1","brown"
"ANKZF1","turquoise"
"ANLN","turquoise"
"ANO1","grey"
"ANO10","turquoise"
"ANO3","green"
"ANO4","grey"
"ANO6","turquoise"
"ANO7","blue"
"ANO8","blue"
"ANO9","grey"
"ANP32A","turquoise"
"ANP32B","turquoise"
"ANP32E","turquoise"
"ANPEP","grey"
"ANTXR1","red"
"ANTXR2","turquoise"
"ANXA1","grey"
"ANXA10","yellow"
"ANXA11","blue"
"ANXA2","turquoise"
"ANXA2R","blue"
"ANXA3","turquoise"
"ANXA4","turquoise"
"ANXA5","turquoise"
"ANXA6","grey"
"ANXA7","turquoise"
"ANXA8","grey"
"ANXA8L1","grey"
"ANXA9","grey"
"AOC1","brown"
"AOC2","blue"
"AOC3","blue"
"AOX1","turquoise"
"AP1AR","turquoise"
"AP1B1","blue"
"AP1G1","turquoise"
"AP1G2","blue"
"AP1M1","blue"
"AP1M2","grey"
"AP1S1","turquoise"
"AP1S2","turquoise"
"AP1S3","turquoise"
"AP2A1","blue"
"AP2A2","blue"
"AP2B1","turquoise"
"AP2M1","blue"
"AP2S1","turquoise"
"AP3B1","turquoise"
"AP3B2","red"
"AP3D1","blue"
"AP3M1","turquoise"
"AP3M2","turquoise"
"AP3S1","turquoise"
"AP3S2","turquoise"
"AP4B1","turquoise"
"AP4E1","turquoise"
"AP4M1","blue"
"AP4S1","turquoise"
"AP5B1","blue"
"AP5M1","turquoise"
"AP5S1","blue"
"AP5Z1","blue"
"APAF1","turquoise"
"APBA1","grey"
"APBA2","red"
"APBA3","blue"
"APBB1","blue"
"APBB2","turquoise"
"APBB3","blue"
"APC","turquoise"
"APC2","blue"
"APCDD1","brown"
"APEH","blue"
"APELA","brown"
"APEX1","turquoise"
"APEX2","blue"
"APH1A","turquoise"
"APH1B","turquoise"
"API5","turquoise"
"APIP","turquoise"
"APLF","turquoise"
"APLN","grey"
"APLP1","blue"
"APLP2","turquoise"
"APMAP","turquoise"
"APOBEC3A","grey"
"APOBEC3B","grey"
"APOBEC3C","turquoise"
"APOBEC3D","grey"
"APOBEC3F","blue"
"APOBEC3G","grey"
"APOBEC4","brown"
"APOBR","grey"
"APOC1","grey"
"APOD","brown"
"APOE","blue"
"APOL1","grey"
"APOL2","turquoise"
"APOL3","grey"
"APOL4","grey"
"APOL6","grey"
"APOLD1","turquoise"
"APOM","grey"
"APOO","turquoise"
"APOOL","turquoise"
"APP","turquoise"
"APPBP2","turquoise"
"APPL1","turquoise"
"APPL2","turquoise"
"APRT","blue"
"APTX","turquoise"
"AQP1","grey"
"AQP10","brown"
"AQP11","turquoise"
"AQP2","brown"
"AQP3","grey"
"AQP4","yellow"
"AQP5","green"
"AQP6","grey"
"AQP7","grey"
"AQR","turquoise"
"AR","grey"
"ARAF","blue"
"ARAP1","blue"
"ARAP2","grey"
"ARAP3","blue"
"ARCN1","turquoise"
"AREG","grey"
"AREL1","turquoise"
"ARF1","blue"
"ARF3","turquoise"
"ARF4","turquoise"
"ARF5","blue"
"ARF6","turquoise"
"ARFGAP1","blue"
"ARFGAP2","blue"
"ARFGAP3","turquoise"
"ARFGEF1","turquoise"
"ARFGEF2","turquoise"
"ARFIP1","turquoise"
"ARFIP2","blue"
"ARFRP1","blue"
"ARG2","turquoise"
"ARGLU1","turquoise"
"ARHGAP1","blue"
"ARHGAP10","turquoise"
"ARHGAP11A","turquoise"
"ARHGAP12","turquoise"
"ARHGAP17","turquoise"
"ARHGAP18","turquoise"
"ARHGAP19","turquoise"
"ARHGAP20","grey"
"ARHGAP21","turquoise"
"ARHGAP22","blue"
"ARHGAP23","blue"
"ARHGAP24","turquoise"
"ARHGAP25","grey"
"ARHGAP26","turquoise"
"ARHGAP27","blue"
"ARHGAP28","grey"
"ARHGAP29","turquoise"
"ARHGAP30","grey"
"ARHGAP31","turquoise"
"ARHGAP32","turquoise"
"ARHGAP33","blue"
"ARHGAP35","turquoise"
"ARHGAP39","blue"
"ARHGAP4","blue"
"ARHGAP40","grey"
"ARHGAP42","turquoise"
"ARHGAP44","grey"
"ARHGAP5","turquoise"
"ARHGAP6","grey"
"ARHGAP8","brown"
"ARHGDIA","blue"
"ARHGDIB","grey"
"ARHGEF1","blue"
"ARHGEF10","turquoise"
"ARHGEF10L","blue"
"ARHGEF11","blue"
"ARHGEF12","turquoise"
"ARHGEF16","blue"
"ARHGEF17","blue"
"ARHGEF18","blue"
"ARHGEF19","grey"
"ARHGEF2","turquoise"
"ARHGEF26","turquoise"
"ARHGEF28","turquoise"
"ARHGEF3","turquoise"
"ARHGEF33","grey"
"ARHGEF35","grey"
"ARHGEF37","turquoise"
"ARHGEF38","brown"
"ARHGEF39","turquoise"
"ARHGEF4","blue"
"ARHGEF40","blue"
"ARHGEF5","blue"
"ARHGEF6","red"
"ARHGEF7","turquoise"
"ARHGEF9","grey"
"ARID1A","turquoise"
"ARID1B","turquoise"
"ARID2","turquoise"
"ARID3A","blue"
"ARID3B","blue"
"ARID3C","grey"
"ARID4A","turquoise"
"ARID4B","turquoise"
"ARID5A","blue"
"ARID5B","turquoise"
"ARIH1","turquoise"
"ARIH2","turquoise"
"ARL1","turquoise"
"ARL10","turquoise"
"ARL11","brown"
"ARL13B","turquoise"
"ARL14","grey"
"ARL14EP","turquoise"
"ARL14EPL","grey"
"ARL15","turquoise"
"ARL16","turquoise"
"ARL17A","turquoise"
"ARL17B","turquoise"
"ARL2","blue"
"ARL2BP","turquoise"
"ARL3","turquoise"
"ARL4A","turquoise"
"ARL4C","turquoise"
"ARL4D","grey"
"ARL5A","turquoise"
"ARL5B","turquoise"
"ARL6","turquoise"
"ARL6IP1","turquoise"
"ARL6IP4","red"
"ARL6IP5","turquoise"
"ARL6IP6","turquoise"
"ARL8A","blue"
"ARL8B","turquoise"
"ARL9","grey"
"ARMC1","turquoise"
"ARMC10","turquoise"
"ARMC12","grey"
"ARMC2","turquoise"
"ARMC3","brown"
"ARMC5","blue"
"ARMC6","blue"
"ARMC7","blue"
"ARMC8","turquoise"
"ARMC9","turquoise"
"ARMCX1","red"
"ARMCX2","red"
"ARMCX3","turquoise"
"ARMCX4","turquoise"
"ARMCX5","turquoise"
"ARMCX6","turquoise"
"ARNT","turquoise"
"ARNT2","grey"
"ARPC1A","turquoise"
"ARPC1B","grey"
"ARPC2","turquoise"
"ARPC3","turquoise"
"ARPC4","turquoise"
"ARPC4-TTLL3","blue"
"ARPC5","turquoise"
"ARPC5L","turquoise"
"ARPIN","turquoise"
"ARPP19","turquoise"
"ARRB1","blue"
"ARRB2","blue"
"ARRDC1","blue"
"ARRDC2","blue"
"ARRDC3","grey"
"ARRDC4","turquoise"
"ARSA","blue"
"ARSB","turquoise"
"ARSD","grey"
"ARSG","turquoise"
"ARSI","blue"
"ARSJ","grey"
"ARSK","turquoise"
"ARTN","grey"
"ARV1","turquoise"
"ARVCF","blue"
"ARX","brown"
"AS3MT","grey"
"ASAH1","turquoise"
"ASAH2","turquoise"
"ASAH2B","turquoise"
"ASAP1","turquoise"
"ASAP2","turquoise"
"ASAP3","blue"
"ASB1","turquoise"
"ASB13","blue"
"ASB14","grey"
"ASB16","red"
"ASB2","grey"
"ASB3","turquoise"
"ASB4","brown"
"ASB6","blue"
"ASB7","turquoise"
"ASB8","turquoise"
"ASB9","grey"
"ASCC1","turquoise"
"ASCC2","blue"
"ASCC3","turquoise"
"ASCL1","green"
"ASCL2","brown"
"ASCL3","brown"
"ASF1A","turquoise"
"ASF1B","blue"
"ASGR1","blue"
"ASH1L","turquoise"
"ASH2L","turquoise"
"ASIC1","blue"
"ASIC2","yellow"
"ASIC3","blue"
"ASL","blue"
"ASMTL","black"
"ASNS","turquoise"
"ASNSD1","turquoise"
"ASPG","green"
"ASPH","turquoise"
"ASPHD1","blue"
"ASPHD2","red"
"ASPM","turquoise"
"ASPSCR1","blue"
"ASRGL1","turquoise"
"ASS1","blue"
"ASTE1","turquoise"
"ASTL","grey"
"ASTN2","blue"
"ASXL1","turquoise"
"ASXL2","turquoise"
"ASXL3","yellow"
"ATAD1","turquoise"
"ATAD2","turquoise"
"ATAD2B","turquoise"
"ATAD3A","blue"
"ATAD3B","blue"
"ATAD3C","grey"
"ATAD5","turquoise"
"ATAT1","black"
"ATE1","turquoise"
"ATF1","turquoise"
"ATF2","turquoise"
"ATF3","grey"
"ATF4","turquoise"
"ATF5","blue"
"ATF6","turquoise"
"ATF6B","blue"
"ATF7","turquoise"
"ATF7IP","turquoise"
"ATF7IP2","turquoise"
"ATG10","turquoise"
"ATG101","blue"
"ATG12","turquoise"
"ATG13","turquoise"
"ATG14","turquoise"
"ATG16L1","turquoise"
"ATG16L2","blue"
"ATG2A","blue"
"ATG2B","turquoise"
"ATG3","turquoise"
"ATG4A","turquoise"
"ATG4B","blue"
"ATG4C","turquoise"
"ATG4D","blue"
"ATG5","turquoise"
"ATG7","turquoise"
"ATG9A","blue"
"ATG9B","green"
"ATIC","turquoise"
"ATL1","turquoise"
"ATL2","turquoise"
"ATL3","turquoise"
"ATM","turquoise"
"ATMIN","turquoise"
"ATN1","blue"
"ATOH8","red"
"ATOX1","turquoise"
"ATP10A","grey"
"ATP10B","brown"
"ATP10D","turquoise"
"ATP11A","turquoise"
"ATP11B","turquoise"
"ATP11C","turquoise"
"ATP12A","brown"
"ATP13A1","blue"
"ATP13A2","blue"
"ATP13A3","turquoise"
"ATP13A4","grey"
"ATP13A5","grey"
"ATP1A1","turquoise"
"ATP1A3","grey"
"ATP1B1","turquoise"
"ATP1B3","turquoise"
"ATP2A1","blue"
"ATP2A2","turquoise"
"ATP2A3","grey"
"ATP2B1","turquoise"
"ATP2B3","yellow"
"ATP2B4","turquoise"
"ATP2C1","turquoise"
"ATP2C2","blue"
"ATP6AP1","blue"
"ATP6AP2","turquoise"
"ATP6V0A1","turquoise"
"ATP6V0A2","turquoise"
"ATP6V0A4","turquoise"
"ATP6V0B","blue"
"ATP6V0C","red"
"ATP6V0D1","blue"
"ATP6V0D2","yellow"
"ATP6V0E1","turquoise"
"ATP6V0E2","blue"
"ATP6V1A","turquoise"
"ATP6V1B1","blue"
"ATP6V1B2","turquoise"
"ATP6V1C1","turquoise"
"ATP6V1C2","turquoise"
"ATP6V1D","turquoise"
"ATP6V1E1","turquoise"
"ATP6V1E2","turquoise"
"ATP6V1F","blue"
"ATP6V1G1","turquoise"
"ATP6V1G2","grey"
"ATP6V1G2-DDX39B","yellow"
"ATP6V1H","turquoise"
"ATP7A","turquoise"
"ATP7B","turquoise"
"ATP8A1","grey"
"ATP8A2","grey"
"ATP8B1","turquoise"
"ATP8B2","blue"
"ATP8B3","grey"
"ATP8B4","turquoise"
"ATP9A","turquoise"
"ATP9B","turquoise"
"ATPAF1","turquoise"
"ATPAF2","turquoise"
"ATR","turquoise"
"ATRAID","turquoise"
"ATRIP","turquoise"
"ATRN","turquoise"
"ATRX","turquoise"
"ATXN1","turquoise"
"ATXN10","turquoise"
"ATXN1L","turquoise"
"ATXN2","turquoise"
"ATXN2L","blue"
"ATXN3","turquoise"
"ATXN7","turquoise"
"ATXN7L1","turquoise"
"ATXN7L2","blue"
"ATXN7L3","blue"
"ATXN7L3B","turquoise"
"AUH","turquoise"
"AUNIP","turquoise"
"AUP1","blue"
"AURKA","turquoise"
"AURKAIP1","blue"
"AURKB","grey"
"AURKC","grey"
"AUTS2","turquoise"
"AVEN","turquoise"
"AVIL","turquoise"
"AVL9","turquoise"
"AVPI1","grey"
"AVPR1A","yellow"
"AVPR2","brown"
"AWAT2","brown"
"AXDND1","grey"
"AXIN1","blue"
"AXIN2","grey"
"AXL","grey"
"AZGP1","grey"
"AZI2","turquoise"
"AZIN1","turquoise"
"AZIN2","blue"
"AZU1","brown"
"B2M","grey"
"B3GALNT1","turquoise"
"B3GALNT2","turquoise"
"B3GALT4","blue"
"B3GALT5","grey"
"B3GALT6","blue"
"B3GAT2","yellow"
"B3GAT3","blue"
"B3GNT2","turquoise"
"B3GNT3","yellow"
"B3GNT4","blue"
"B3GNT5","turquoise"
"B3GNT6","brown"
"B3GNT7","grey"
"B3GNT8","blue"
"B3GNT9","blue"
"B4GALNT2","grey"
"B4GALNT3","blue"
"B4GALNT4","blue"
"B4GALT1","turquoise"
"B4GALT2","blue"
"B4GALT3","blue"
"B4GALT4","turquoise"
"B4GALT5","turquoise"
"B4GALT6","turquoise"
"B4GALT7","blue"
"B9D1","blue"
"B9D2","blue"
"BAALC","green"
"BABAM1","blue"
"BACE1","turquoise"
"BACE2","turquoise"
"BACH1","turquoise"
"BACH2","grey"
"BAD","blue"
"BAG1","turquoise"
"BAG2","turquoise"
"BAG3","blue"
"BAG4","turquoise"
"BAG5","turquoise"
"BAG6","blue"
"BAHCC1","blue"
"BAHD1","blue"
"BAIAP2","blue"
"BAIAP2L1","turquoise"
"BAIAP2L2","blue"
"BAIAP3","blue"
"BAK1","blue"
"BAMBI","grey"
"BANF1","blue"
"BANK1","grey"
"BANP","blue"
"BAP1","blue"
"BARD1","turquoise"
"BARX2","brown"
"BASP1","turquoise"
"BATF","brown"
"BATF2","blue"
"BAX","blue"
"BAZ1A","turquoise"
"BAZ1B","turquoise"
"BAZ2A","turquoise"
"BAZ2B","turquoise"
"BBC3","blue"
"BBIP1","turquoise"
"BBOX1","brown"
"BBS1","blue"
"BBS10","turquoise"
"BBS12","turquoise"
"BBS2","turquoise"
"BBS4","turquoise"
"BBS5","turquoise"
"BBS7","turquoise"
"BBS9","turquoise"
"BBX","turquoise"
"BCAM","blue"
"BCAP29","turquoise"
"BCAP31","turquoise"
"BCAR1","blue"
"BCAR3","turquoise"
"BCAS1","grey"
"BCAS2","turquoise"
"BCAS3","turquoise"
"BCAS4","turquoise"
"BCAT1","turquoise"
"BCAT2","blue"
"BCCIP","turquoise"
"BCDIN3D","turquoise"
"BCKDHA","blue"
"BCKDHB","turquoise"
"BCKDK","blue"
"BCL10","turquoise"
"BCL11A","grey"
"BCL11B","brown"
"BCL2","grey"
"BCL2A1","grey"
"BCL2L1","blue"
"BCL2L10","grey"
"BCL2L11","turquoise"
"BCL2L12","blue"
"BCL2L13","turquoise"
"BCL2L14","grey"
"BCL2L15","grey"
"BCL2L2","turquoise"
"BCL2L2-PABPN1","blue"
"BCL3","blue"
"BCL6","turquoise"
"BCL7A","blue"
"BCL7B","turquoise"
"BCL7C","blue"
"BCL9","turquoise"
"BCL9L","blue"
